IP Range      	  Live Nodes
192.168.2.0/24	           4

IP Address   	Protocol  	Open Ports
192.168.2.1  	tcp       	[515]
192.168.2.62 	tcp       	[80, 515]
192.168.2.120	tcp       	[135, 139, 443, 445, 5357]
192.168.2.240	tcp       	[443, 8080, 9100]
